-- By @XThrlen | Channel @SRC_HUB
ItemID | ItemName
1000 | BP
1001 | Silver
1002 | Health
1003 | EXP
1004 | Active
1005 |  
1006 | UC
1007 |  
1008 | Vitality Energy
1009 | Clan Points
1010 | Clan Funds
1011 | 
1012 | 
1013 | 
1014 | Activity
1015 | 
1016 | Active
1017 | Activity
1018 | Weekly Activity
1019 | Roommate Rapport
1021 |  
1022 |  
1023 |  
1024 | Theme Token
1025 | Treasure Coin
1026 | Evo EXP
1027 | WOW Pass Points
1028 | Card Token
1080 | WOW Play EXP
1081 | WOW Creation Token
1082 | WOW Weekly Activity
1083 | WOW Creator EXP
1084 | Challenge Points
1085 | Advanced Wonder Season Points
1098 | Mission Activity Points
1099 | RP Points
1100 | Achievement Points
1101 | Donkatsu Medal
1102 | Challenge Coin
1103 | Battle Coin
1104 | Golden Fragment
1105 | Recall Token
1109 | AG
1110 | Choice Reward Pack
1111 | Talent Coin
1112 | Reward Selection Pack A
1113 | Reward Selection Pack B
1114 | Reward Selection Pack C
1115 | Returner Medal
1116 | Reward Selection Pack A
1117 | Reward Selection Pack B
1118 | Prize Path Point
1119 | Prize Path Point
1120 | Prize Path Point
1121 | Bonus Pass Points
1122 | Prize Path Point
1123 | Prize Path Point
1124 | Casual Points
1125 | Advanced Casual Points
1126 | Prize Path Point
1127 | Prize Path Point
1128 |  
1129 | WOW Token
1130 | RP Points Voucher
1201 | Classic Energy
1202 | Casual Energy
1203 | Royale Energy
1204 | Clan Activity Points
1205 |  
1206 | MC
1207 | Winter Coin
1208 | Home Coin
1209 | Elite Home Coin
1210 | Craftsman's Key
1211 | Elite Craftsman's Pass
1220 | Frost Point
1221 | Friendship
1222 | Friendship
1230 | Parking Token
1231 | Home Token
1232 |  
1233 |  
1234 |  
1235 |  
1236 |  
1237 |  
1238 |  
1239 |  
1240 |  
1241 |  
1242 |  
1243 |  
1244 |  
1245 |  
1246 |  
1247 |  
1248 |  
1249 |  
1250 | Exclusive Voucher
1251 | Exclusive Voucher
1252 | Exclusive Voucher
1253 | Exclusive Voucher
1254 | Exclusive Voucher
1255 | Exclusive Voucher
1256 | Exclusive Voucher
1257 | Exclusive Voucher
1258 | Exclusive Voucher
1259 | Exclusive Voucher
1260 | Exclusive Voucher
1261 | Exclusive Voucher
1262 | Exclusive Voucher
1263 | Exclusive Voucher
1264 | Deal Voucher
1265 | Deal Voucher
1300 | Nusa Coin
1301 | Metro Cash
1302 | Talent Points
1303 | Cyber Points
1304 | Inventory capacity
1305 | Fame
1310 | Undercover Agent ID
1311 | Vera's Favorability
1312 | Ian's Favorability
1313 | Katia's Favorability
1314 | Free Mystery Shop Refreshes
1315 | Katia's Support Lv. 1
1316 | Katia's Support Lv. 2
1317 | Katia's Support Lv. 3
1318 |  
1319 | Metro Royale Honor
1320 | Rookie Points
1321 | Rookie Mission Points
1322 | Ray Pass Points
1323 | Exploration Points
1324 | Exploration Points
1325 | Exploration Points
1326 | Exploration Points
1327 | Exploration Points
1328 | Exploration Points
1329 | Exploration Points
1330 | Mystery Shop Refresh Discount
1331 | Exploration Points
1332 | Progress
1333 | Exploration Points
1334 | Exploration Points
1415 | Return Points
2250 | Exclusive Voucher
2251 | Exclusive Voucher
2252 | Exclusive Voucher
2253 | Exclusive Voucher
2254 | Exclusive Voucher
2350 | Exclusive Voucher
2351 | Exclusive Voucher
2352 | Exclusive Voucher
2353 | Exclusive Voucher
2354 | Deal Voucher
2355 | Home Face-Off Mystery Reward
2356 | Reward
2357 | US $100
2401 | Exclusive Voucher
10001 | Newbie
10002 | Icon
11001 | Soccer Points
11118 | Prize Path Point
11119 | Prize Path Point
11120 | Prize Path Point
11127 | Prize Path Point
20001 | Season Portable Closet
20002 | Removal Card (7-Day)
20003 | Removal Card (30-Day)
20004 | Remove Card
20005 | Shared Portable Closet
20006 | Season Portable Closet (Plus Exclusive)
23561 | Reward
23562 | Ninja Rank Credits
30001 | Berserker
30002 | Sharpshooter
30003 | Rookie
30004 | Lone Wolf
30005 | Death Racer
30006 | Trendy
30007 | Social Butterfly
30008 | Terminator
30009 | Grenadier
30010 | Dream Partner
30011 | Top 10 Regular
30012 | Healer
30013 | Elite Squad
30014 | Conqueror
30015 | Climber
30016 | Royale Pass Medal (S2)
30017 | Sniper
30018 | Camper
30019 | Chicken Glory Avatar
30020 | 100 Eliminations
30021 | Domination
30022 | Billionaire
30023 | Baseball Uniform Avatar
30024 | Reaper Avatar
30025 | Pink Ribbon
30026 | White Tiger
30027 | Skateboarder
30028 | Bald Eagle
